Имя дрона,Несущая частота,Пропускная способность,Время обнаружения,Комментарии,Широта,Долгота,Азимут,Внутренний радиус сектора,Внешний радиус сектора,Радиус сектора (м),IP-адрес стрижа
DRON6,0.0,0.0,2021-08-30 11:39:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON66,0.0,0.0,2021-08-30 11:49:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON677,0.0,0.0,2021-08-30 11:54:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON1,0.0,0.0,2021-08-30 11:56:11,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON2,0.0,0.0,2021-08-30 11:56:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON3,0.0,0.0,2021-08-30 11:58:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON3,0.0,0.0,2021-08-30 11:59:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON4,0.0,0.0,2021-08-30 12:01:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON5,0.0,0.0,2021-08-30 12:02:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON6,0.0,0.0,2021-08-30 12:05:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON7,0.0,0.0,2021-08-30 12:06:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON8,0.0,0.0,2021-08-30 12:10:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON88,0.0,0.0,2021-08-30 12:15:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON9,0.0,0.0,2021-08-30 12:16:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON10,0.0,0.0,2021-08-30 12:40:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON11,0.0,0.0,2021-08-30 12:40:25,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON11,0.0,0.0,2021-08-30 12:40:26,Comment,0.0,0.0,240,260.0,320.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:10,Comment,0.0,0.0,240,190.0,250.0,500.0,192.168.2.241
dron 2555,0.0,0.0,2021-08-30 18:06:12,Comment,0.0,0.0,100,180.0,240.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:09,Comment,0.0,0.0,240,120.0,180.0,500.0,192.168.2.241
DRON7,0.0,0.0,2021-08-30 11:38:11,Comment,0.0,0.0,240,100.0,160.0,500.0,192.168.2.241
Probniy Dron 2,235626.0,26262.0,2021-07-28 12:40:28,Comment34y34yeyfdh,0.0,0.0,azimuth 120 grad,90.0,150.0,500.0,192.168.2.241
dron 200,0.0,0.0,2021-08-30 18:06:05,Comment,0.0,0.0,100,70.0,130.0,500.0,192.168.2.241
Drone Mavic BMW 228 AMG i8 turbo GTR RS,7272.0,782575.0,2021-08-02 12:40:28,Comment,0.0,0.0,azimuth 160 grad,70.0,130.0,500.0,192.168.2.241
dron 100,0.0,0.0,2021-08-30 18:06:00,Comment,0.0,0.0,100,70.0,130.0,500.0,192.168.2.241
dron 220,0.0,0.0,2021-08-30 18:06:02,Comment,0.0,0.0,100,70.0,130.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:06,Comment,0.0,0.0,240,60.0,120.0,500.0,192.168.2.241
SJ RC S72W,21415.0,212515.0,2021-07-30 13:00:28,Comment,0.0,0.0,azimuth 160 grad,60.0,120.0,500.0,192.168.2.241
SJ RC S72W,235236.0,2335235.0,2021-07-30 12:40:28,Comment,0.0,0.0,azimuth 80 grad,50.0,110.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:08,Comment,0.0,0.0,240,30.0,90.0,500.0,192.168.2.241
SJ RC S72W,124.0,27.0,2021-08-02 12:40:28,Comment,0.0,0.0,azimuth 160 grad,10.0,70.0,500.0,192.168.2.241
dron 02515,0.0,0.0,2021-09-07 18:37:14,Comment,0.0,0.0,100,0.0,100.0,500.0,192.168.2.241
dron 02515,0.0,0.0,2021-09-07 18:38:14,Comment,0.0,0.0,100,0.0,100.0,500.0,192.168.2.241
dron 02515,0.0,0.0,2021-09-07 18:41:14,Comment,0.0,0.0,100,0.0,100.0,500.0,192.168.2.241
dron 2555,0.0,0.0,2021-08-30 18:06:10,Comment,0.0,0.0,100,0.0,130.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:07,Comment,0.0,0.0,240,0.0,60.0,500.0,192.168.2.241
dron 1,0.0,0.0,2021-08-30 18:06:11,Comment,0.0,0.0,100,0.0,60.0,500.0,192.168.2.241
DRON,0.0,0.0,2021-08-02 19:12:05,Comment,0.0,0.0,240,0.0,60.0,500.0,192.168.2.241
dron 2555,0.0,0.0,2021-08-30 18:06:14,Comment,0.0,0.0,100,0.0,100.0,500.0,192.168.2.241
dron 2555,0.0,0.0,2021-08-31 10:51:14,Comment,0.0,0.0,100,0.0,100.0,500.0,192.168.2.241
